"name" "long" "lat"
"408" "Kosciuszko St & Nostrand Ave" -73.95133465 40.69072549
"409" "Riverside Dr & W 78 St" -73.98362492 40.78414472
"410" "NYCBS Depot - SSP" -74.01651 40.646768
"411" "Washington Park" -73.9737299 40.6917823
"412" "Division St & Bowery" -73.9970468 40.71413089
"413" "Sands St & Navy St" -73.979927 40.699773
"414" "S Portland Ave & Hanson Pl" -73.97431458 40.68539567
"415" "3 Ave & Schermerhorn St" -73.9796772 40.68683208
"416" "Cadman Plaza E & Red Cross Pl" -73.98971773 40.69991755
"417" "E 80 St & 2 Ave" -73.9543953537941 40.7739139023812
"418" "Park Ave & Marcus Garvey Blvd" -73.941342 40.698617
"419" "DeKalb Ave & S Portland Ave" -73.97493121 40.68981035
"420" "Grand St & Havemeyer St" -73.95698119 40.71286844
"421" "Greene Ave & Nostrand Ave" -73.950916 40.6883337
"422" "Clinton Ave & Myrtle Ave" -73.968896 40.693261
"423" "W 74 St & Columbus Ave" -73.97754961 40.7785669
"424" "E 58 St & 1 Ave" -73.9622622728348 40.7589238637769
"425" "Lafayette Ave & Classon Ave" -73.96023854 40.68900443
"426" "McKibbin St & Manhattan Ave" -73.94407279 40.70510918
"427" "Soissons Landing" -74.0148657560349 40.6923166071919
"428" "Clermont Ave & Lafayette Ave" -73.96968902 40.68764484
"429" "N 15 St & Wythe Ave" -73.955736 40.724055
"430" "Clinton St & Tillary St" -73.991218 40.696192
"431" "Franklin St & Dupont St" -73.95866 40.73564
"432" "Lorimer St & Broadway" -73.94818595 40.70411791
"433" "E 71 St & 2 Ave" -73.9591026306152 40.7681754674225
"434" "Jackson Ave & 46 Rd" -73.94733276 40.74524768
"435" "Huron St & Franklin St" -73.95826 40.73266
"436" "Myrtle Ave & St Edwards St" -73.97703874 40.69327018
"437" "N 12 St & Bedford Ave" -73.95484712 40.72079821
"438" "Franklin Ave & Myrtle Ave" -73.958089 40.694528
"439" "DeKalb Ave & Vanderbilt Ave" -73.96885458 40.68940747
"440" "Nassau St & Navy St" -73.98068914 40.69839895
"441" "Leonard St & Grand St" -73.94714303 40.71103537
"442" "48 Ave & 5 St" -73.9558732509613 40.7443632870669
